,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
243,4230131700,ENERGEN CORPORATION,BLACK MAMBA 1-57,0,3/20/2012,15428.0,63.0,5/16/2012,5/1/2012,850645.0,1618814.0,580843.0,468.0,136.0,29872.0,4249.0,H,OIL,BONE SPRING,TWO GEORGES,31.6775038,-103.5460144,3917.0
244,4230131742,ENERGEN CORPORATION,EL PASO STATE 1-54,0,6/23/2012,16802.0,60.0,8/14/2012,8/1/2012,362466.0,626476.0,258053.0,234.0,86.0,17194.0,6230.0,H,OIL,BONE SPRING,TWO GEORGES,31.671635,-103.52925920000001,5106.0
245,4230131675,BHP BILLITON PET(TXLA OP) CO,ABERNATHY 57-T1-14,1H,4/10/2012,15653.0,55.0,8/23/2012,8/1/2012,625916.0,2806058.0,158240.0,803.0,48.0,37549.0,1406.0,H,GAS,WOLFCAMP,PHANTOM,31.9698957,-103.92766800000001,4322.0
246,4230131744,ENERGEN CORPORATION,GRAYLING 1-69,0,8/2/2012,14774.0,58.0,10/2/2012,10/1/2012,602007.0,2111864.0,250030.0,415.0,62.0,,13130.0,H,OIL,BONE SPRING,TWO GEORGES,31.684943,-103.5835013,3488.0
247,4230131820,BHP BILLITON PET(TXLA OP) CO,BOLD JOHNSON 56-T1-26,1H,9/3/2012,16461.0,53.0,12/3/2012,12/1/2012,444844.0,1951532.0,119589.0,820.0,41.0,19512.0,947.0,H,GAS,WOLFCAMP,PHANTOM,31.9278395,-103.82517890000001,4431.0
248,4230131887,BHP BILLITON PET(TXLA OP) CO,BOLD JOHNSON 56-T1-30,1H,12/6/2012,16205.0,53.0,2/25/2013,2/1/2013,633665.0,2712647.0,181557.0,1082.0,94.0,6118.0,223.0,H,GAS,WOLFCAMP,PHANTOM,31.927839399999996,-103.89348570000001,4703.0
249,4230131746,ENERGEN CORPORATION,WD JOHNSON 53-22,0,7/28/2012,16074.0,59.0,8/30/2012,9/1/2012,867199.0,1129529.0,678944.0,491.0,240.0,,70.0,H,OIL,BONE SPRING,TWO GEORGES,31.838214500000003,-103.53298290000001,3917.0
250,4230131773,RD SHELL,APC FEE 6,2H,9/25/2012,15810.0,56.0,12/17/2012,12/1/2012,124597.0,160474.0,97851.0,58.0,31.0,11731.0,2382.0,H,OIL,WOLFCAMP,PHANTOM,31.7376555,-103.49386690000001,4223.0
251,4230131803,ENERGEN CORPORATION,BULL SHARK 53-28,0,9/5/2012,16029.0,58.0,10/23/2012,10/1/2012,374648.0,723348.0,254090.0,398.0,116.0,9048.0,3045.0,H,OIL,BONE SPRING,TWO GEORGES,31.815963500000002,-103.5643244,4065.0
252,4230131762,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-35,2H,11/28/2012,13191.0,49.0,3/15/2013,5/1/2013,239727.0,1108467.0,54983.0,692.0,14.0,,4915.0,H,GAS,BONE SPRING,SANDBAR,31.913531899999995,-103.73110179999999,4174.0
253,4230131763,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-35,6H,11/12/2012,13327.0,44.0,2/25/2013,4/1/2013,194895.0,858923.0,51741.0,328.0,12.0,10321.0,1744.0,H,GAS,BONE SPRING,SANDBAR,31.913526399999995,-103.7223403,3680.0
254,4247535957,ENERGEN CORPORATION,BUSH VIPER UNIT NW 1-56,0,4/7/2012,15716.0,58.0,7/12/2012,7/1/2012,133815.0,293891.0,84833.0,143.0,47.0,,87.0,H,OIL,BONE SPRING,TWO GEORGES,31.6454012,-103.5673137,4154.0
255,4230131776,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 54-1-31,6H,7/14/2012,13180.0,49.0,11/12/2012,11/1/2012,145640.0,672875.0,33494.0,45.0,1.0,4963.0,1009.0,H,GAS,BONE SPRING,SANDBAR,31.913646999999997,-103.6909974,4004.0
256,4230131798,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-37,9H,8/22/2012,13122.0,56.0,10/29/2012,11/1/2012,361989.0,1570606.0,100221.0,413.0,15.0,19532.0,7342.0,H,GAS,BONE SPRING,SANDBAR,31.911782000000002,-103.70353399999999,3963.0
257,4230131802,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-37,4H,8/22/2012,12879.0,57.0,10/30/2012,11/1/2012,526365.0,2481339.0,112808.0,864.0,15.0,35290.0,7168.0,H,GAS,BONE SPRING,SANDBAR,31.9115156,-103.712657,3764.0
